股票代码,股票名,年报日期,净资产收益率(%)
sh600935,华塑股份,20151231,-15.0794
sh601059,信达证券,20151231,26.5499
sh601136,首创证券,20151231,24.1449
sh601456,国联证券,20151231,24.9031
sh601528,瑞丰银行,20151231,10.566
sh601702,华峰铝业,20151231,12.1379
sh601778,晶科科技,20151231,0.847
sh601827,三峰环境,20151231,10.5331
sh601963,重庆银行,20151231,17.0452
sh603053,成都燃气,20151231,21.5807
sh603087,甘李药业,20151231,35.4495
sh603093,南华期货,20151231,5.5199
sh603095,越剑智能,20151231,12.1046
sh603109,神驰机电,20151231,14.3955
sh603150,万朗磁塑,20151231,26.8232
sh603155,新亚强,20151231,14.3145
sh603162,海通发展,20151231,0.4139
sh603182,嘉华股份,20151231,30.4489
sh603191,望变电气,20151231,15.8553
sh603195,公牛集团,20151231,61.4329
sh603212,赛伍技术,20151231,40.4678
sh603221,爱丽家居,20151231,30.9788
sh603256,宏和科技,20151231,10.8071
sh603282,亚光股份,20151231,22.5993
sh603290,斯达半导,20151231,4.7805
sh603317,天味食品,20151231,19.9156
sh603353,和顺石油,20151231,41.1358
sh603392,万泰生物,20151231,18.7931
sh603489,八方股份,20151231,44.897
sh603529,爱玛科技,20151231,43.354
sh603530,神马电力,20151231,18.0044
sh603551,奥普家居,20151231,41.0991
sh603565,中谷物流,20151231,40.6695
sh603610,麒盛科技,20151231,43.9828
sh603662,柯力传感,20151231,11.2239
sh603682,锦和商管,20151231,21.6193
sh603719,良品铺子,20151231,16.2128
sh603755,日辰股份,20151231,23.8287
sh603786,科博达,20151231,29.5358
sh603815,交建股份,20151231,10.2833
sh603893,瑞芯微,20151231,4.203
sh603915,国茂股份,20151231,11.6085
sh603948,建业股份,20151231,9.5144
sh603950,长源东谷,20151231,15.1122
sh603967,中创物流,20151231,31.7849
sh603983,丸美股份,20151231,42.6288
sh603992,松霖科技,20151231,13.129
sh603995,甬金股份,20151231,11.2133
sh605006,山东玻纤,20151231,13.3917
sh605069,正和生态,20151231,8.0338
sh605088,冠盛股份,20151231,1.9462
sh605090,九丰能源,20151231,122.6846
sh605098,行动教育,20151231,37.387
sh605100,华丰股份,20151231,5.3076
sh605108,同庆楼,20151231,13.2867
sh605128,上海沿浦,20151231,16.795
sh605136,丽人丽妆,20151231,8.0213
sh605151,西上海,20151231,26.0587
sh605158,华达新材,20151231,22.3593
sh605166,聚合顺,20151231,-1.1302
sh605168,三人行,20151231,34.411
sh605178,时空科技,20151231,32.435
sh605189,富春染织,20151231,12.7183
sh605196,华通线缆,20151231,12.1073
sh605198,安德利,20151231,5.1984
sh605258,协和电子,20151231,42.8885
sh605266,健之佳,20151231,10.4677
sh605288,凯迪股份,20151231,37.2684
sh605289,罗曼股份,20151231,18.1502
sh605296,神农集团,20151231,21.1729
sh605298,必得科技,20151231,17.4171
sh605299,舒华体育,20151231,33.7136
sh605303,园林股份,20151231,3.6508
sh605333,沪光股份,20151231,94.6077
sh605339,南侨食品,20151231,19.1158
sh605358,立昂微,20151231,4.9903
sh605376,博迁新材,20151231,44.0964
sh605377,华旺科技,20151231,27.6539
sh605580,恒盛能源,20151231,11.8979
sh688004,博汇科技,20151231,9.2444
sh688006,杭可科技,20151231,48.9471
sh688025,杰普特,20151231,22.5348
sh688026,洁特生物,20151231,12.8165
sh688033,天宜上佳,20151231,42.8057
sh688038,中科通达,20151231,13.2878
sh688052,纳芯微,20151231,33.6457
sh688058,宝兰德,20151231,7.6103
sh688060,云涌科技,20151231,38.751
sh688063,派能科技,20151231,26.993
sh688067,爱威科技,20151231,17.1795
sh688077,大地熊,20151231,11.0735
sh688083,中望软件,20151231,-6.6947
sh688089,嘉必优,20151231,4.763
sh688101,三达膜,20151231,12.2856
sh688103,国力股份,20151231,20.329
sh688109,品茗科技,20151231,105.3008
